ConstituentID,Nationality
3996,American
3998,American
3999,American
4001,American
4003,German
4004,American
4005,American
4006,American
4008,American
4010,Italian
4011,Italian
4014,American
4015,Hungarian
4016,Belgian
4017,French
4019,American
4020,American
4021,American
4022,American
4023,American
4024,German
4025,Argentine
4026,American
4027,American
4028,Italian
4029,American
4030,American
4031,American
4032,American
4033,American
4034,American
4035,Turkish
4036,American
4037,Canadian
4039,American
4040,American
4041,American
4042,American
4045,American
4046,Austrian
4047,American
4048,American
4052,American
4053,American
4054,American
4055,American
4056,English
4058,Canadian
4060,American
4061,American
4063,American
4065,German
4066,British
4067,American
4068,German
4069,American
4070,French
4071,American
4073,American
4076,American
4077,American
4078,German
4079,American
4080,American
4081,Brazilian
4083,Austrian
4084,Italian
4085,Dutch
4086,American
4088,Indian
4089,Swedish
4090,Sri Lankan
4091,American
4092,American
4093,American
4094,American
4095,American
4096,Canadian
4097,American
4098,American
4099,Belgian
4100,American
4101,American
4102,American
4103,American
4104,American
4106,American
4107,American
4108,British
4109,American
4110,American
4111,American
4112,American
4113,American
4114,American
4115,American
4116,American
4117,American
4118,American
4119,American
4120,American
4121,American
4122,American
4124,American
4125,American
4126,American
4127,American
4128,American
4129,American
4130,Canadian
4131,American
4132,American
4133,American
4134,German
4135,American
4136,Russian
4137,American
4138,American
4139,American
4140,British
4141,American
4142,American
4143,American
4144,American
4145,American
4146,American
4147,American
4148,American
4149,American
4150,American
4152,American
4154,American
4155,English
4157,American
4158,English
4159,American
4160,Chinese
4161,Greek
4162,German
4163,Turkish
4165,Swiss
4168,Indian
4169,Norwegian
4170,New Zealander
4171,Dutch
4174,American
4180,Italian
4181,German
4183,English
4185,Swiss
4189,American
4191,American
4194,American
4196,Swiss
4197,American
4200,Japanese
4201,American
4202,German
4203,American
4204,American
4205,American
4206,American
4207,British
4208,American
4209,British
4210,American
4211,American
4212,American
4213,English
4215,Welsh
4216,American
4217,American
4218,American
4219,American
4221,American
4222,English
4223,American
4224,English
4225,American
4227,American
4228,American
4229,Mexican
4230,Danish
4232,American
4233,American
4234,American
4235,American
4236,American
4238,American
4239,Spanish
4240,American
4241,French
4242,American
4243,American
4244,Canadian
4245,American
4246,American
4247,American
4248,American
4249,American
4250,Irish
4251,American
4252,Irish
4253,American
4254,American
4255,American
4256,American
4257,Australian
4258,American
4259,American
4260,American
4261,American
4262,American
4264,American
4265,English
4267,American
4269,American
4270,American
4271,American
4272,French
4273,American
4274,American
4275,French
4276,American
4277,American
4278,Swiss
4279,American
4280,German
4281,American
4282,Canadian
4283,Italian
4284,English
4285,American
4286,English
4287,Italian
4288,French
4289,American
4290,French
4291,American
4292,Danish
4293,American
4296,American
4297,British
4298,American
4300,Spanish
4301,Norwegian
4302,American
4303,British
4304,Spanish
4306,American
4307,American
4308,American
4309,Belgian
4310,American
4311,American
4312,American
4313,American
4314,American
4316,French
4318,American
4320,American
4321,American
4322,Mexican
4323,German
4324,American
4325,American
4326,American
4327,American
4328,German
4329,English
4331,American
4332,American
4333,American
4334,American
4335,American
4336,American
4337,American
4338,American
4339,American
4340,German
4341,American
4342,American
4343,English
4344,American
4345,American
4347,American
4348,Austrian
4349,American
4350,American
4351,American
4352,American
4353,American
4354,American
4355,English
4356,Hungarian
4357,American
4358,French
4359,Canadian
4360,American
4361,Russian
4362,American
4363,American
4365,American
4366,American
4367,American
4368,English
4369,English
4370,American
4371,American
4374,English
4375,American
4376,American
4377,American
4378,German
4379,American
4380,Canadian
4381,American
4382,American
4383,American
4384,American
4385,Canadian
4386,American
4387,American
4388,American
4389,American
4390,American
4391,German
4393,Philippine
4394,American
4395,American
4396,American
4398,American
4399,American
4400,American
4401,American
4402,American
4403,American
4404,American
4405,American
4406,American
4407,American
4409,American
4410,German
4411,American
4412,American
4413,American
4414,Austrian
4415,American
4416,English
4417,American
4418,English
4419,American
4420,American
4421,American
4422,American
4424,American
4425,American
4426,American
4427,American
4428,American
4429,American
4430,American
4431,Canadian
4432,American
4433,American
4434,American
4437,English
4438,British
4439,American
4440,British
4441,Swedish
4442,American
4443,American
4444,English
4445,American
4446,British
4447,English
4448,Japanese
4450,American
4451,American
4452,American
4453,Czechoslovakian
4454,Japanese
5108,American
5131,American
5149,French
5150,English
5151,American
5152,German
5153,American
5155,American
5156,American
